,date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,open_delay,close_delay,high_delay,low_delay,pctChg_delay,date_delay
0,2015-01-05,sh.600519,189.62,204.24,188.69,202.52,189.62,9451517,1875063136.0,0.82763,6.8031,15.669442,4.745072,7.402898,404.660981,176.02,178.08,180.5,173.0,1.4817,2015-01-20
1,2015-01-06,sh.600519,200.0,202.56,196.02,197.83,202.52,5502001,1094977376.0,0.481787,-2.3158,15.306566,4.635185,7.23146,395.289759,178.27,182.36,182.9,177.2,2.4034,2015-01-21
2,2015-01-07,sh.600519,196.04,199.5,189.99,192.94,197.83,5479784,1063925648.0,0.479842,-2.4718,14.928215,4.520612,7.052712,385.518911,182.37,181.23,184.36,180.0,-0.6197,2015-01-22
3,2015-01-08,sh.600519,194.0,194.52,190.14,191.76,192.94,4052530,777874672.0,0.354863,-0.6116,14.836916,4.492964,7.009578,383.161119,180.12,181.02,183.28,180.11,-0.1159,2015-01-23
4,2015-01-09,sh.600519,190.4,195.77,190.11,190.31,191.76,5398220,1039955152.0,0.4727,-0.7562,14.724726,4.45899,6.956575,380.263833,181.7,182.8,183.5,181.05,0.9833,2015-01-26
5,2015-01-12,sh.600519,190.0,192.59,184.46,186.43,190.31,4991459,934643408.0,0.437081,-2.0388,14.424522,4.368081,6.814746,372.511094,182.82,180.11,182.82,178.0,-1.4716,2015-01-27
6,2015-01-13,sh.600519,187.0,188.54,184.6,184.88,186.43,3670808,683429632.0,0.321437,-0.8314,14.304595,4.331765,6.758087,369.413995,179.0,177.47,180.4,177.3,-1.4658,2015-01-28
7,2015-01-14,sh.600519,185.0,186.5,180.88,183.18,184.88,5240344,965036192.0,0.458875,-0.9195,14.173062,4.291933,6.695945,366.017177,176.2,176.15,178.0,175.0,-0.7438,2015-01-29
8,2015-01-15,sh.600519,183.89,186.4,182.48,186.07,183.18,4858552,895503104.0,0.425443,1.5777,14.396668,4.359646,6.801586,371.791768,176.99,177.18,181.0,176.5,0.5847,2015-01-30
9,2015-01-16,sh.600519,186.2,188.0,185.98,186.11,186.07,3997806,746304288.0,0.350071,0.0215,14.399763,4.360584,6.803048,371.871693,175.51,174.82,176.4,173.5,-1.332,2015-02-02
10,2015-01-19,sh.600519,181.0,183.2,171.47,175.48,186.11,6467937,1151544272.0,0.56637,-5.7117,13.577295,4.111521,6.41448,350.631587,177.48,178.37,178.65,176.2,2.0307,2015-02-03
11,2015-01-20,sh.600519,176.02,180.5,173.0,178.08,175.48,6102274,1086018448.0,0.534351,1.4817,13.778463,4.17244,6.50952,355.826721,179.15,177.25,182.08,177.0,-0.6279,2015-02-04
12,2015-01-21,sh.600519,178.27,182.9,177.2,182.36,178.08,5267474,950750400.0,0.461251,2.4034,14.109616,4.272721,6.665971,364.378711,178.97,174.05,180.9,174.0,-1.8054,2015-02-05
13,2015-01-22,sh.600519,182.37,184.36,180.0,181.23,182.36,3825481,696541248.0,0.334981,-0.6197,14.022186,4.246245,6.624665,362.120826,174.64,174.6,176.5,173.6,0.316,2015-02-06
14,2015-01-23,sh.600519,180.12,183.28,180.11,181.02,181.23,3308455,600627344.0,0.289708,-0.1159,14.005937,4.241324,6.616989,361.701219,175.77,184.3,185.1,175.0,5.5556,2015-02-09
15,2015-01-26,sh.600519,181.7,183.5,181.05,182.8,181.02,3564906,650642096.0,0.312164,0.9833,14.14366,4.28303,6.682055,365.257888,184.8,182.88,185.2,181.45,-0.7705,2015-02-10
16,2015-01-27,sh.600519,182.82,182.82,178.0,180.11,182.8,4188362,755025856.0,0.366757,-1.4716,13.935529,4.220003,6.583725,359.882922,182.4,183.15,184.25,182.08,0.1476,2015-02-11
17,2015-01-28,sh.600519,179.0,180.4,177.3,177.47,180.11,3068066,547979152.0,0.268658,-1.4658,13.731266,4.158147,6.487223,354.607863,183.99,183.57,184.49,182.01,0.2293,2015-02-12
18,2015-01-29,sh.600519,176.2,178.0,175.0,176.15,177.47,3249254,571553424.0,0.284524,-0.7438,13.629134,4.127219,6.438971,351.970333,184.11,182.49,184.5,181.4,-0.5883,2015-02-13
19,2015-01-30,sh.600519,176.99,181.0,176.5,177.18,176.15,4750834,848744496.0,0.416011,0.5847,13.708828,4.151353,6.476622,354.028406,182.54,183.31,183.63,181.22,0.4493,2015-02-16
20,2015-02-02,sh.600519,175.51,176.4,173.5,174.82,177.18,3398336,593379648.0,0.297578,-1.332,13.526229,4.096057,6.390355,349.312822,183.55,182.22,183.89,181.91,-0.5946,2015-02-17
