,date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,raise_prob,chg_avg
0,2015-01-05,sh.601318,77.8,78.8,75.25,76.16,74.71,243571773,18752043264.0,4.712728,1.9408,18.553166,3.096917,1.565815,-200.898149,0.3,-0.682
1,2015-01-06,sh.601318,74.38,76.77,72.01,73.73,76.16,234227969,17438633728.0,4.53194,-3.1907,17.961199,2.998105,1.515856,-194.488189,0.4,-0.3402200000000001
2,2015-01-07,sh.601318,73.3,75.5,72.5,73.41,73.73,170386884,12565953536.0,3.296717,-0.434,17.883245,2.985093,1.509277,-193.644079,0.5,0.65758
3,2015-01-08,sh.601318,74.5,74.92,70.8,71.08,73.41,178880915,12883821056.0,3.461063,-3.174,17.315638,2.890348,1.461373,-187.497904,0.5,0.7306699999999999
4,2015-01-09,sh.601318,71.2,78.18,70.72,72.84,71.08,311873408,23164177408.0,5.758018,2.4761,18.239176,3.044506,1.539316,-197.498188,0.5,0.65929
5,2015-01-12,sh.601318,73.98,76.24,72.3,75.17,72.84,265627145,19758885632.0,4.904189,3.1988,18.822609,3.141893,1.588555,-203.815744,0.4,0.18445999999999999
6,2015-01-13,sh.601318,75.3,76.98,74.01,75.12,75.17,150924355,11390279680.0,2.786468,-0.0665,18.810089,3.139803,1.587499,-203.680174,0.4,-0.027119999999999988
7,2015-01-14,sh.601318,75.26,75.88,73.08,73.85,75.12,145910572,10853946880.0,2.6939,-1.6906,18.49208,3.086721,1.56066,-200.2367,0.4,-0.08386
8,2015-01-15,sh.601318,74.0,79.44,73.7,78.87,73.85,257903786,19788348416.0,4.761595,6.7976,19.749091,3.296542,1.666747,-213.847915,0.3,-1.0043199999999999
9,2015-01-16,sh.601318,79.4,81.4,77.91,78.29,78.87,231750863,18476457216.0,4.278742,-0.7354,19.603859,3.2723,1.65449,-212.275304,0.3,-1.10938
10,2015-01-19,sh.601318,70.47,73.45,70.46,70.46,78.29,290034944,20841210368.0,5.354822,-10.0013,17.643222,2.945028,1.48902,-191.045062,0.3,-0.5523199999999999
11,2015-01-20,sh.601318,70.3,72.11,68.5,70.62,70.46,265116392,18667133696.0,4.894759,0.2271,17.683287,2.951716,1.492401,-191.478886,0.3,-0.14464999999999995
12,2015-01-21,sh.601318,71.3,77.56,71.09,77.36,70.62,292580064,21775561472.0,5.401812,9.544,19.370986,3.233429,1.634836,-209.753704,0.2,-1.32636
13,2015-01-22,sh.601318,77.29,77.7,74.51,75.47,77.36,214704423,16325804032.0,3.964019,-2.4431,18.897729,3.154432,1.594895,-204.629163,0.2,-1.3131599999999999
14,2015-01-23,sh.601318,76.0,79.6,75.49,76.8,75.47,234373207,18082145792.0,4.327157,1.7623,19.230762,3.210022,1.623002,-208.235322,0.2,-1.4332799999999999
15,2015-01-26,sh.601318,76.3,76.44,74.7,75.61,76.8,138860635,10484377088.0,2.563739,-1.5495,18.932785,3.160284,1.597854,-205.008759,0.3,-1.02347
16,2015-01-27,sh.601318,76.12,77.45,71.83,73.96,75.61,218560605,16231932160.0,4.035214,-2.1823,18.519624,3.091318,1.562985,-200.534953,0.4,-0.73318
17,2015-01-28,sh.601318,72.89,73.6,71.9,72.29,73.96,128035499,9286066688.0,2.363878,-2.258,18.101455,3.021517,1.527693,-196.00692,0.5,-0.2650099999999999
18,2015-01-29,sh.601318,71.01,71.66,69.81,70.55,72.29,156306718,11034677504.0,2.885841,-2.407,17.665758,2.94879,1.490922,-191.289088,0.5,-0.05994999999999997
19,2015-01-30,sh.601318,70.7,71.85,68.81,69.29,70.55,139388270,9784587008.0,2.573481,-1.786,17.350254,2.896126,1.464294,-187.872727,0.6,0.12150999999999998
20,2015-02-02,sh.601318,66.3,67.75,65.95,66.22,69.29,152220255,10171400192.0,2.810394,-4.4307,16.581524,2.767808,1.399416,-179.548737,0.7,0.62036
21,2015-02-03,sh.601318,67.18,70.5,66.0,69.07,66.22,190717204,12937941504.0,3.52115,4.3038,17.295166,2.88693,1.459645,-187.27622,0.7,0.22837999999999997
22,2015-02-04,sh.601318,69.27,70.31,67.38,67.5,69.07,127880615,8815905280.0,2.361019,-2.2731,16.902037,2.821309,1.426466,-183.019326,0.7,0.11282000000000006
23,2015-02-05,sh.601318,70.0,70.0,65.8,65.94,67.5,182953806,12526322944.0,3.377817,-2.3111,16.511412,2.756105,1.393499,-178.789546,0.8,0.5948100000000001
24,2015-02-06,sh.601318,65.9,68.07,65.51,66.31,65.94,148683594,9905947648.0,2.745097,0.5611,16.60406,2.77157,1.401318,-179.792763,0.8,0.59738
25,2015-02-09,sh.601318,66.2,69.1,66.0,68.0,66.31,141165997,9578811136.0,2.606302,2.5486,17.027237,2.842207,1.437033,-184.375025,0.7,0.28845
26,2015-02-10,sh.601318,67.5,68.97,67.21,68.49,68.0,98062231,6688282624.0,1.810491,0.7206,17.149933,2.862688,1.447388,-185.703609,0.6,-0.18132
27,2015-02-11,sh.601318,68.9,70.65,68.47,70.15,68.49,106204573,7382467328.0,1.960821,2.4237,17.565598,2.932071,1.482468,-190.204529,0.5,-0.4505100000000001
28,2015-02-12,sh.601318,70.1,70.5,68.63,69.9,70.15,83702171,5833771520.0,1.545366,-0.3564,17.502998,2.921622,1.477185,-189.52668,0.5,-0.68078
29,2015-02-13,sh.601318,70.34,71.33,69.76,69.92,69.9,109227391,7688143872.0,2.01663,0.0286,17.508006,2.922458,1.477608,-189.580908,0.4,-0.7112600000000001
30,2015-02-16,sh.601318,70.2,71.44,69.76,70.31,69.92,96166454,6771606272.0,1.77549,0.5578,17.605662,2.938759,1.48585,-190.638353,0.4,-0.5608200000000002
31,2015-02-17,sh.601318,70.58,71.44,70.38,70.58,70.31,94984648,6738798848.0,1.753671,0.384,17.67327,2.950044,1.491556,-191.37043,0.3,-0.6927099999999999
32,2015-02-25,sh.601318,70.37,70.4,67.68,68.16,70.58,104046202,7157733632.0,1.920972,-3.4287,17.067301,2.848895,1.440414,-184.808848,0.4,-0.27069
33,2015-02-26,sh.601318,68.0,70.16,66.99,69.87,68.16,117863558,8113328128.0,2.176077,2.5088,17.495486,2.920368,1.476551,-189.445338,0.4,-0.13196
34,2015-02-27,sh.601318,70.15,71.21,69.73,70.28,69.87,95432615,6730967808.0,1.761942,0.5868,17.59815,2.937505,1.485216,-190.557011,0.4,-0.17029
