,date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,raise_prob,chg_avg
0,2015-01-05,sz.000651,37.9,40.83,37.9,40.8,37.12,107244746,4315916288.0,3.591021,9.9138,9.354068,3.080449,0.934639,10.60206,0.5,-0.14092000000000002
1,2015-01-06,sz.000651,40.28,43.35,40.2,41.67,40.8,86648002,3627794208.0,2.901353,2.1324,9.553529,3.146135,0.954569,10.828134,0.5,0.4677200000000001
2,2015-01-07,sz.000651,41.25,42.0,40.6,41.6,41.67,38700488,1599685216.0,1.295861,-0.168,9.537481,3.14085,0.952966,10.809944,0.6,0.62302
3,2015-01-08,sz.000651,41.7,42.49,40.73,41.74,41.6,44854471,1871451856.0,1.501923,0.3365,9.569578,3.15142,0.956173,10.846324,0.5,0.4186000000000001
4,2015-01-09,sz.000651,41.73,42.68,40.44,41.0,41.74,35797697,1485954944.0,1.198663,-1.7729,9.399921,3.095549,0.939221,10.654031,0.5,0.5588299999999999
5,2015-01-12,sz.000651,40.8,42.35,40.21,42.2,41.0,44447234,1849577632.0,1.488287,2.9268,9.675041,3.186151,0.96671,10.965857,0.5,0.28243000000000007
6,2015-01-13,sz.000651,41.92,44.22,41.6,44.1,42.2,40449023,1744011696.0,1.354409,4.5024,10.110647,3.329603,1.010235,11.45958,0.4,-0.41618999999999995
7,2015-01-14,sz.000651,44.1,44.2,42.49,42.61,44.1,31297398,1363571792.0,1.047973,-3.3787,9.76904,3.217106,0.976102,11.072397,0.4,-0.27351
8,2015-01-15,sz.000651,42.45,43.61,41.6,43.44,42.61,22838211,972235120.0,0.764723,1.9479,9.959331,3.279772,0.995116,11.288076,0.3,-0.6042499999999998
9,2015-01-16,sz.000651,43.5,43.76,42.51,42.88,43.44,20780282,891923696.0,0.695814,-1.2891,9.830942,3.237492,0.982288,11.142558,0.3,-0.5319499999999999
10,2015-01-19,sz.000651,41.19,41.97,38.59,40.03,42.88,41559687,1678883568.0,1.391599,-6.6465,9.177533,3.022313,0.917,10.401973,0.3,-0.08512000000000006
11,2015-01-20,sz.000651,41.3,43.32,40.58,43.32,40.03,49736814,2068001792.0,1.665405,8.2188,9.231627,3.270712,0.930684,11.256894,0.3,-0.83615
12,2015-01-21,sz.000651,44.0,44.2,42.68,43.92,43.32,35779277,1563758080.0,1.198046,1.385,9.359489,3.316013,0.943575,11.412806,0.2,-1.05505
13,2015-01-22,sz.000651,43.83,44.44,43.0,43.17,43.92,25368155,1102989504.0,0.849436,-1.7077,9.199661,3.259387,0.927462,11.217915,0.2,-1.00586
14,2015-01-23,sz.000651,43.25,43.7,42.6,43.01,43.17,25393151,1092863440.0,0.850273,-0.3706,9.165565,3.247307,0.924024,11.176339,0.2,-1.0970099999999998
15,2015-01-26,sz.000651,43.39,43.54,42.8,43.08,43.01,21186941,912503584.0,0.709431,0.1628,9.180482,3.252592,0.925528,11.194528,0.2,-0.97043
16,2015-01-27,sz.000651,43.0,43.29,41.35,42.01,43.08,34445876,1453802640.0,1.153398,-2.4838,8.952462,3.171805,0.90254,10.916484,0.3,-0.52231
17,2015-01-28,sz.000651,41.7,42.02,40.66,41.19,42.01,28379687,1168274384.0,0.950276,-1.9519,8.777717,3.109894,0.884923,10.703404,0.3,-0.33464999999999995
18,2015-01-29,sz.000651,40.3,41.17,40.3,40.63,41.19,23933220,976052240.0,0.801388,-1.3595,8.658379,3.067614,0.872892,10.557885,0.3,-0.3745799999999999
19,2015-01-30,sz.000651,40.8,41.42,40.3,40.4,40.63,27695417,1129105040.0,0.927363,-0.5661,8.609366,3.050249,0.867951,10.498119,0.4,-0.29750999999999983
20,2015-02-02,sz.000651,39.77,40.5,39.43,39.52,40.4,27344265,1089511328.0,0.915605,-2.1782,8.421835,2.983807,0.849045,10.269447,0.4,-0.19454
21,2015-02-03,sz.000651,40.0,40.19,39.19,39.8,39.52,26715874,1061687648.0,0.894564,0.7085,8.481504,3.004948,0.855061,10.342206,0.4,0.3181400000000001
22,2015-02-04,sz.000651,39.9,40.55,39.43,39.48,39.8,21832016,874376272.0,0.731031,-0.804,8.413311,2.980787,0.848186,10.259053,0.5,0.45465
23,2015-02-05,sz.000651,40.52,40.76,39.0,39.0,39.48,32679675,1299914144.0,1.094258,-1.2158,8.311021,2.944547,0.837874,10.134322,0.5,0.5034500000000001
24,2015-02-06,sz.000651,39.0,39.4,38.06,38.5,39.0,19935490,771455088.0,0.667527,-1.2821,8.20447,2.906796,0.827132,10.004395,0.5,0.53635
25,2015-02-09,sz.000651,38.8,39.8,38.59,39.05,38.5,19893982,777964704.0,0.666137,1.4286,8.321676,2.948322,0.838948,10.147315,0.5,0.61555
26,2015-02-10,sz.000651,39.25,39.95,39.06,39.83,39.05,23298254,921390624.0,0.780127,1.9974,8.487897,3.007213,0.855705,10.350002,0.4,0.02479000000000009
27,2015-02-11,sz.000651,39.91,40.17,39.66,39.8,39.83,19473000,776540896.0,0.652041,-0.0753,8.481504,3.004948,0.855061,10.342206,0.5,0.23076000000000002
28,2015-02-12,sz.000651,39.84,39.9,38.7,39.1,39.8,24144654,943085456.0,0.808468,-1.7588,8.332332,2.952097,0.840022,10.160308,0.5,0.08643999999999999
