,date,code,open,high,low,close,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,open_delay,close_delay,high_delay,low_delay,date_delay
0,2017-06-05,sz.002877,10.08,12.1,10.08,12.1,5300,62413.0,0.017343,44.04763,27.424457,4.580034,4.904242,99.511425,19.48,19.48,19.48,19.48,2017-06-12
1,2017-06-06,sz.002877,13.31,13.31,13.31,13.31,4785,63688.0,0.015658,10.0,30.166902,5.038037,5.394666,109.462567,21.43,21.43,21.43,21.43,2017-06-13
2,2017-06-07,sz.002877,14.64,14.64,14.64,14.64,2044,29924.0,0.006688,9.992486,33.181326,5.541462,5.933728,120.4006,23.57,23.57,23.57,23.57,2017-06-14
3,2017-06-08,sz.002877,16.1,16.1,16.1,16.1,6444,103748.0,0.021086,9.972677,36.490393,6.094094,6.525479,132.407764,25.93,25.93,25.93,25.93,2017-06-15
4,2017-06-09,sz.002877,17.71,17.71,17.71,17.71,21916,388132.0,0.071715,9.999992,40.139432,6.703504,7.178027,145.64854,28.52,28.52,28.52,28.52,2017-06-16
5,2017-06-12,sz.002877,19.48,19.48,19.48,19.48,43487,847126.0,0.1423,9.994356,44.151109,7.373476,7.895424,160.20517,28.5,31.37,31.37,27.5,2017-06-19
6,2017-06-13,sz.002877,21.43,21.43,21.43,21.43,41608,891659.0,0.136152,10.01027,48.570753,8.11158,8.685777,176.242135,29.09,29.4,30.58,28.51,2017-06-20
7,2017-06-14,sz.002877,23.57,23.57,23.57,23.57,58879,1387778.0,0.192667,9.985998,53.421028,8.921603,9.553139,193.841676,28.92,27.32,29.28,26.59,2017-06-21
8,2017-06-15,sz.002877,25.93,25.93,25.93,25.93,154052,3994568.0,0.504097,10.01273,58.769931,9.814899,10.509669,213.250516,27.06,30.05,30.05,26.65,2017-06-22
9,2017-06-16,sz.002877,28.52,28.52,28.52,28.52,2372516,67664156.0,7.763469,9.988431,64.640124,10.795253,11.55942,234.550896,28.59,28.02,28.86,27.05,2017-06-23
10,2017-06-19,sz.002877,28.5,31.37,27.5,31.37,22228948,668406656.0,72.738704,9.992989,71.099604,11.874021,12.714551,257.989537,27.01,26.92,27.59,25.81,2017-06-26
11,2017-06-20,sz.002877,29.09,30.58,28.51,29.4,16723934,493538224.0,54.724915,-6.279889,66.63463,11.128346,11.916092,241.78809,26.8,26.28,27.41,26.03,2017-06-27
12,2017-06-21,sz.002877,28.92,29.28,26.59,27.32,13303374,371330800.0,43.531983,-7.07483,61.920343,10.341035,11.073049,224.681994,25.88,24.91,26.0,24.85,2017-06-28
13,2017-06-22,sz.002877,27.06,30.05,26.65,30.05,21357957,628602208.0,69.888603,9.992678,68.107845,11.374381,12.179543,247.133745,25.08,24.92,25.48,24.87,2017-06-29
14,2017-06-23,sz.002877,28.59,28.86,27.05,28.02,16981155,475428592.0,55.566607,-6.755404,63.506882,10.605995,11.356765,230.438853,24.71,25.28,25.97,24.4,2017-06-30
15,2017-06-26,sz.002877,27.01,27.59,25.81,26.92,10948374,291410320.0,35.825831,-3.925769,61.01375,10.189629,10.910925,221.39236,25.51,25.23,25.51,24.71,2017-07-03
16,2017-06-27,sz.002877,26.8,27.41,26.03,26.28,8759140,233229954.0,28.662107,-2.377412,59.5632,9.947379,10.651527,216.128946,25.44,25.98,26.47,25.24,2017-07-04
17,2017-06-28,sz.002877,25.88,26.0,24.85,24.91,8567446,215944347.0,28.034836,-5.213093,56.458117,9.428813,10.096254,204.86195,25.91,28.58,28.58,25.68,2017-07-05
18,2017-06-29,sz.002877,25.08,25.48,24.87,24.92,6116224,153900283.0,20.013822,0.040145,56.480782,9.432598,10.100307,204.944191,29.19,31.4,31.44,28.6,2017-07-06
19,2017-06-30,sz.002877,24.71,25.97,24.4,25.28,7978473,202291583.0,26.107569,1.444625,57.296716,9.568864,10.246218,207.904861,30.11,29.27,30.33,29.02,2017-07-07
20,2017-07-03,sz.002877,25.51,25.51,24.71,25.23,4824080,120983608.0,15.785602,-0.197789,57.183392,9.549938,10.225953,207.493657,28.69,27.38,28.75,27.28,2017-07-10
21,2017-07-04,sz.002877,25.44,26.47,25.24,25.98,8502148,219240146.0,27.821165,2.972652,58.883255,9.833824,10.529935,213.66172,27.37,27.38,28.69,27.2,2017-07-11
22,2017-07-05,sz.002877,25.91,28.58,25.68,28.58,11799683,325915008.0,38.611528,10.0077,64.776113,10.817964,11.583739,235.044341,26.73,28.25,28.7,26.03,2017-07-12
23,2017-07-06,sz.002877,29.19,31.44,28.6,31.4,20900395,624004560.0,68.391345,9.867039,71.167598,11.885377,12.726711,258.23626,27.66,26.55,28.0,26.28,2017-07-13
24,2017-07-07,sz.002877,30.11,30.33,29.02,29.27,15029677,445414224.0,49.18088,-6.783437,66.339987,11.079139,11.863402,240.718959,26.4,26.7,27.57,26.35,2017-07-14
25,2017-07-10,sz.002877,28.69,28.75,27.28,27.38,10372502,288696608.0,33.941433,-6.457128,62.056332,10.363746,11.097368,225.175439,25.0,24.03,25.4,24.03,2017-07-17
26,2017-07-11,sz.002877,27.37,28.69,27.2,27.38,9392632,262510234.0,30.735052,0.0,62.056332,10.363746,11.097368,225.175439,23.15,23.58,24.0,22.69,2017-07-18
27,2017-07-12,sz.002877,26.73,28.7,26.03,28.25,10209450,278163600.0,33.407886,3.177505,64.028174,10.693054,11.449987,232.330393,23.46,24.07,24.1,22.41,2017-07-19
28,2017-07-13,sz.002877,27.66,28.0,26.28,26.55,7839499,212480616.0,25.652811,-6.017702,60.175151,10.049578,10.760961,218.349449,24.07,23.92,25.16,23.81,2017-07-20
29,2017-07-14,sz.002877,26.4,27.57,26.35,26.7,5281908,142419651.0,17.28373,0.564978,60.515123,10.106355,10.821757,219.583061,23.6,23.58,23.94,22.96,2017-07-21
30,2017-07-17,sz.002877,25.0,25.4,24.03,24.03,6341084,155180988.0,20.74962,-10.0,54.463611,9.09572,9.739581,197.624755,23.28,24.13,24.19,22.8,2017-07-24
31,2017-07-18,sz.002877,23.15,24.0,22.69,23.58,4999682,116916780.0,16.360216,-1.872662,53.443693,8.925388,9.557192,193.923917,24.18,23.58,24.28,23.52,2017-07-25
32,2017-07-19,sz.002877,23.46,24.1,22.41,24.07,5729797,133967723.0,18.749336,2.078031,54.55427,9.11086,9.755794,197.953719,23.51,22.97,23.9,22.88,2017-07-26
33,2017-07-20,sz.002877,24.07,25.16,23.81,23.92,6627789,162612204.0,21.687791,-0.623181,54.214298,9.054083,9.694997,196.720106,22.8,24.61,24.61,22.71,2017-07-27
34,2017-07-21,sz.002877,23.6,23.94,22.96,23.58,4740476,110907015.0,15.512029,-1.421405,53.443693,8.925388,9.557192,193.923917,25.67,25.15,26.48,25.13,2017-07-28
35,2017-07-24,sz.002877,23.28,24.19,22.8,24.13,4831971,113513599.0,15.811423,2.332482,54.690259,9.133571,9.780112,198.447164,24.1,24.23,24.4,23.58,2017-07-31
36,2017-07-25,sz.002877,24.18,24.28,23.52,23.58,3211567,76404887.0,10.509054,-2.279317,53.443693,8.925388,9.557192,193.923917,24.2,23.93,24.2,23.65,2017-08-01
37,2017-07-26,sz.002877,23.51,23.9,22.88,22.97,3169374,73792829.0,10.370988,-2.586941,52.061138,8.694494,9.309954,188.907226,23.93,23.29,23.95,23.12,2017-08-02
38,2017-07-27,sz.002877,22.8,24.61,22.71,24.61,6184003,146714581.0,20.235612,7.139753,55.778172,9.315259,9.974661,202.394724,23.09,23.39,23.8,23.09,2017-08-03
39,2017-07-28,sz.002877,25.67,26.48,25.13,25.15,12781136,329504912.0,41.823089,2.194226,57.002073,9.519657,10.193528,206.83573,23.28,22.93,23.54,22.92,2017-08-04
40,2017-07-31,sz.002877,24.1,24.4,23.58,24.23,6829378,163938156.0,22.347441,-3.658052,54.916908,9.171423,9.820643,199.269572,22.95,23.05,23.42,22.93,2017-08-07
41,2017-08-01,sz.002877,24.2,24.2,23.65,23.93,4253053,101542911.0,13.917058,-1.238131,54.236963,9.057868,9.699051,196.802347,22.88,23.05,23.17,22.69,2017-08-08
42,2017-08-02,sz.002877,23.93,23.95,23.12,23.29,4031797,94494270.0,13.193053,-2.674465,52.786413,8.815619,9.439653,191.538933,22.96,22.82,23.02,22.78,2017-08-09
43,2017-08-03,sz.002877,23.09,23.8,23.09,23.39,2903647,68280428.0,9.501463,0.429362,53.013061,8.85347,9.480184,192.361341,22.81,22.2,23.0,22.02,2017-08-10
44,2017-08-04,sz.002877,23.28,23.54,22.92,22.93,2773096,64137112.0,9.074267,-1.966649,51.970479,8.679353,9.293741,188.578262,22.1,21.41,22.1,21.39,2017-08-11
45,2017-08-07,sz.002877,22.95,23.42,22.93,23.05,1880354,43462944.0,6.152991,0.523327,52.242457,8.724775,9.342378,189.565152,21.2,21.75,21.9,21.2,2017-08-14
46,2017-08-08,sz.002877,22.88,23.17,22.69,23.05,2044540,46827949.0,6.690249,0.0,52.242457,8.724775,9.342378,189.565152,21.85,22.08,22.44,21.81,2017-08-15
47,2017-08-09,sz.002877,22.96,23.02,22.78,22.82,1377426,31467818.0,4.507284,-0.997829,51.721165,8.637716,9.249157,187.673613,21.91,23.16,23.68,21.91,2017-08-16
48,2017-08-10,sz.002877,22.81,23.0,22.02,22.2,2207532,49656651.0,7.223599,-2.71691,50.315945,8.403037,8.997866,182.57468,22.92,23.75,24.89,22.55,2017-08-17
49,2017-08-11,sz.002877,22.1,22.1,21.39,21.41,2153798,46923126.0,7.047768,-3.558563,48.525423,8.10401,8.677671,176.077653,23.19,22.93,23.4,22.85,2017-08-18
50,2017-08-14,sz.002877,21.2,21.9,21.2,21.75,1526986,33087016.0,4.996682,1.588044,49.296027,8.232705,8.815476,178.873842,22.9,23.8,24.24,22.58,2017-08-21
51,2017-08-15,sz.002877,21.85,22.44,21.81,22.08,2025883,44758393.0,6.629198,1.517241,50.043967,8.357615,8.949228,181.58779,23.9,24.28,24.85,23.48,2017-08-22
52,2017-08-16,sz.002877,21.91,23.68,21.91,23.16,5077863,116278479.0,16.616044,4.891304,52.49177,8.766412,9.386962,190.469802,23.96,24.7,25.16,23.63,2017-08-23
53,2017-08-17,sz.002877,22.92,24.89,22.55,23.75,7174962,169228913.0,23.478279,2.547496,53.828995,8.989735,9.626095,195.322012,24.48,23.93,25.54,23.88,2017-08-24
54,2017-08-18,sz.002877,23.19,23.4,22.85,22.93,3507929,80869397.0,11.478825,-3.45263,51.970479,8.679353,9.293741,188.578262,23.5,24.97,25.49,23.5,2017-08-25
